Pymongo,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.104871,0.08957,0.089678,0.094013,0.089292,0.0934848,,,,,
x2,0.196605,0.169809,0.16511,0.166297,0.164448,0.1724538,,1 PARALLEL,,,
x4,0.33961,0.318295,0.309831,0.312159,0.318366,0.3196522,,optimizer, default_pipe,,
x8,0.601887,0.610682,0.607684,0.603944,0.599736,0.6047866,,pools,1,,comment
x16,1.284646,1.186596,1.191293,1.198609,1.195103,1.2112494,,,,,
x32,2.495265,2.355119,2.341522,2.377249,2.350617,2.3839544,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.118103,0.102928,0.104072,0.10871,0.104019,0.1075664,,,,,
x2,0.210794,0.185495,0.182497,0.182354,0.179657,0.1881594,,2 PARALLEL,,,
x4,0.355124,0.336347,0.324195,0.324757,0.333619,0.3348084,,optimizer, default_pipe,,
x8,0.616979,0.626277,0.623963,0.620748,0.613382,0.6202698,,pools,2,,
x16,1.301571,1.201298,1.204293,1.214156,1.209064,1.2260764,,,,,
x32,2.51026,2.383256,2.356957,2.392336,2.363155,2.4011928,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.11502,0.112604,0.115003,0.10913,0.115828,0.113517,,,,,
x2,0.1822,0.18462,0.181587,0.185452,0.187031,0.184178,,4 PARALLEL,,,
x4,0.335606,0.334144,0.031857,0.33354,0.331257,0.2732808,,optimizer, default_pipe,,
x8,0.623181,0.623899,0.625199,0.633338,0.637584,0.6286402,,pools,4,,
x16,1.212052,1.207506,1.213105,1.220162,1.22471,1.215507,,,,,
x32,2.385517,2.371592,2.403993,2.40286,2.387202,2.3902328,,,,,
,,,,,,,,,,,
Pandas,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,1.125953,1.116524,1.073989,1.125947,1.096329,1.1077484,,,,,
x2,2.201989,2.179378,2.195022,2.183432,2.160586,2.1840814,,1 PARALLEL,,,
x4,4.464053,4.47313,4.465641,4.552671,4.714463,4.5339916,,optimizer, default_pipe,,
x8,8.939767,9.29512,9.205018,9.21596,9.134196,9.1580122,,pools,1,,comment
x16,18.359166,18.14507,18.152463,19.295845,18.156899,18.4218886,,,,,
x32,36.356545,36.146709,36.5199,36.454519,36.215771,36.3386888,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,1.060186,1.04874,1.023584,1.054239,1.037319,1.0448136,,,,,
x2,2.116861,2.093268,2.114929,2.09979,2.083767,2.101723,,2 PARALLEL,,,
x4,4.204673,4.254348,4.257078,4.305174,4.358693,4.2759932,,optimizer, default_pipe,,
x8,8.52614,8.732776,8.628436,8.653917,8.636474,8.6355486,,pools,2,,
x16,17.298057,17.153814,17.189416,17.705326,17.182267,17.305776,,,,,
x32,34.522235,34.207496,34.56024,34.466505,34.590595,34.4694142,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.803677,0.813618,0.812943,0.827404,0.850225,0.8215734,,,,,
x2,1.636901,1.640138,1.649272,1.634469,1.61557,1.63527,,4 PARALLEL,,,
x4,3.194245,3.170147,3.191328,3.188491,3.167783,3.1823988,,optimizer, default_pipe,,
x8,6.53129,6.56264,6.445723,6.502029,6.392712,6.4868788,,pools,4,,
x16,12.961318,13.087924,13.132298,12.906919,12.916315,13.0009548,,,,,
x32,26.027001,25.914333,25.871614,25.961017,25.947346,25.9442622,,,,,