PyMongo & python filtering,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.75052,0.753707,0.73478,0.74915,0.737481,0.7451276,Cold faster,,,,
x2,1.617562,1.55605,1.550338,1.536796,1.523421,1.5568334,Hot faster,DIRTY CACHE,,,
x4,3.085867,3.051464,3.060131,3.045758,3.025287,3.0537014,Cold faster,optimizer, default_pipe,,
x8,6.136272,7.607879,6.150831,6.068253,6.240316,6.4407102,Hot faster,nthreads,4,,comment
x16,12.16169,12.073593,12.121592,12.164292,12.107462,12.1257258,Cold faster,,,,
x32,24.055131,24.459239,23.825658,24.003815,26.643893,24.5975472,Cold faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.752092,0.744259,0.75017,0.762272,0.757001,0.7531588,,,,,
x2,1.496776,1.496974,1.527467,1.530873,1.539409,1.5182998,,CLEAN CACHE,,,
x4,3.086845,3.055437,3.095572,3.12646,3.09347,3.0915568,,optimizer, default_pipe,,
x8,5.995404,6.022896,5.974411,6.163482,6.068104,6.0448594,,nthreads,4,,comment
x16,11.953161,12.052027,11.847568,11.858041,11.917349,11.9256292,,,,,
x32,23.776387,23.93449,23.873358,23.457427,23.684713,23.745275,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Pandas,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,3.256318,3.248682,3.268062,3.189762,3.262154,3.2449956,Cold faster,,,,
x2,6.519678,6.561751,6.421157,6.38716,6.446131,6.4671754,Hot faster,DIRTY CACHE,,,
x4,13.011552,12.898743,13.023505,12.82939,12.899324,12.9325028,Cold faster,optimizer, default_pipe,,
x8,26.592509,25.973966,26.436345,25.651002,25.852767,26.1013178,Hot faster,nthreads,4,,
x16,52.818832,52.713782,53.232133,52.026024,52.011506,52.5604554,Cold faster,,,,
x32,108.544578,107.12649,109.216574,105.383386,107.95083,107.6443716,Cold faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,3.114221,3.157077,3.205899,3.199032,3.100497,3.1553452,,,,,
x2,6.337639,6.406701,6.299271,6.503247,6.33601,6.3765736,,CLEAN CACHE,,,
x4,13.219142,12.730908,12.82805,12.740595,12.857974,12.8753338,,optimizer, default_pipe,,
x8,26.301853,25.926077,26.176649,26.411996,26.564992,26.2763134,,nthreads,4,,
x16,52.805914,54.605097,53.040867,53.689125,52.469297,53.32206,,,,,
x32,112.914919,105.535095,105.047485,109.464533,107.315588,108.055524,,,,,